route_id,route_short_name,route_long_name
APS_1a,T8,T8 Airport & South Line
APS_1b,T8,T8 Airport & South Line
APS_1c,T8,T8 Airport & South Line
APS_1d,T8,T8 Airport & South Line
APS_1e,T8,T8 Airport & South Line
APS_1f,T8,T8 Airport & South Line
APS_2a,T8,T8 Airport & South Line
APS_2b,T8,T8 Airport & South Line
APS_2c,T8,T8 Airport & South Line
APS_2d,T8,T8 Airport & South Line
APS_2e,T8,T8 Airport & South Line
APS_2f,T8,T8 Airport & South Line
CMB_1a,T5,T5 Cumberland Line
CMB_1b,T5,T5 Cumberland Line
CMB_1c,T5,T5 Cumberland Line
CMB_1d,T5,T5 Cumberland Line
CMB_2a,T5,T5 Cumberland Line
CMB_2b,T5,T5 Cumberland Line
CMB_2c,T5,T5 Cumberland Line
CMB_2d,T5,T5 Cumberland Line
ESI_1a,T4,T4 Eastern Suburbs & Illawarra Line
ESI_1b,T4,T4 Eastern Suburbs & Illawarra Line
ESI_1c,T4,T4 Eastern Suburbs & Illawarra Line
ESI_1d,T4,T4 Eastern Suburbs & Illawarra Line
ESI_1e,T4,T4 Eastern Suburbs & Illawarra Line
ESI_1f,T4,T4 Eastern Suburbs & Illawarra Line
ESI_2a,T4,T4 Eastern Suburbs & Illawarra Line
ESI_2b,T4,T4 Eastern Suburbs & Illawarra Line
ESI_2c,T4,T4 Eastern Suburbs & Illawarra Line
ESI_2d,T4,T4 Eastern Suburbs & Illawarra Line
ESI_2e,T4,T4 Eastern Suburbs & Illawarra Line
ESI_2f,T4,T4 Eastern Suburbs & Illawarra Line
IWL_1a,T2,T2 Leppington & Inner West Line
IWL_1b,T2,T2 Leppington & Inner West Line
IWL_1c,T2,T2 Leppington & Inner West Line
IWL_1d,T2,T2 Leppington & Inner West Line
IWL_1e,T2,T2 Leppington & Inner West Line
IWL_1f,T2,T2 Leppington & Inner West Line
IWL_1g,T2,T2 Leppington & Inner West Line
IWL_1i,T2,T2 Leppington & Inner West Line
IWL_1j,T2,T2 Leppington & Inner West Line
IWL_2a,T2,T2 Leppington & Inner West Line
IWL_2b,T2,T2 Leppington & Inner West Line
IWL_2c,T2,T2 Leppington & Inner West Line
IWL_2d,T2,T2 Leppington & Inner West Line
IWL_2e,T2,T2 Leppington & Inner West Line
IWL_2f,T2,T2 Leppington & Inner West Line
IWL_2g,T2,T2 Leppington & Inner West Line
IWL_2i,T2,T2 Leppington & Inner West Line
IWL_2j,T2,T2 Leppington & Inner West Line
NSN_1a,T1,T1 North Shore Line
NSN_2a,T1,T1 North Shore Line
NSN_2i,T1,T1 North Shore Line
NSN_2k,T1,T1 North Shore Line
NTH_1a,T9,T9 Northern Line
NTH_1b,T9,T9 Northern Line
NTH_2a,T9,T9 Northern Line
OLY_1a,T7,T7 Olympic Park Line
OLY_1b,T7,T7 Olympic Park Line
OLY_2a,T7,T7 Olympic Park Line
OLY_2b,T7,T7 Olympic Park Line
T3_1a,T3,T3 Liverpool & Inner West Line
T3_1b,T3,T3 Liverpool & Inner West Line
T3_1c,T3,T3 Liverpool & Inner West Line
T3_1d,T3,T3 Liverpool & Inner West Line
T3_2a,T3,T3 Liverpool & Inner West Line
T3_2b,T3,T3 Liverpool & Inner West Line
T3_2c,T3,T3 Liverpool & Inner West Line
T3_2d,T3,T3 Liverpool & Inner West Line
T6_1a,T6,T6 Lidcombe & Bankstown Line
T6_1b,T6,T6 Lidcombe & Bankstown Line
T6_1c,T6,T6 Lidcombe & Bankstown Line
T6_2a,T6,T6 Lidcombe & Bankstown Line
T6_2b,T6,T6 Lidcombe & Bankstown Line
T6_2c,T6,T6 Lidcombe & Bankstown Line
WST_1a,T1,T1 Western Line
WST_1b,T1,T1 Western Line
WST_2c,T1,T1 Western Line
WST_2d,T1,T1 Western Line
